Date,Close,High,Low,Open,Volume,Bid,Ask
2023-07-19,192.57994079589844,195.66950100927124,190.16157487576123,190.6057743707706,80507300,192.4836508255005,192.67623076629638
2023-07-20,190.63539123535156,193.9322456468904,190.01352397351403,192.57006595398724,59581200,190.5400735397339,190.73070893096923
2023-07-21,189.46075439453125,192.45161532627134,188.75991868585442,191.59285775033445,71951700,189.36602401733398,189.55548477172852
2023-07-24,190.26026916503906,192.392372294224,189.76672761078473,190.91174763146105,45377800,190.16513903045654,190.35539929962158
2023-07-25,191.11904907226562,191.92846454581797,190.42809382758358,190.83280156435973,37283200,191.0234895477295,191.21460859680175
2023-07-26,191.98768615722656,193.11296042478057,190.8229351880455,191.1684052777898,47471900,191.89169231414795,192.08368000030518
2023-07-27,190.72422790527344,194.6528150463848,190.06288393124004,193.48806403406496,47460200,190.6288657913208,190.81959001922607
2023-07-28,193.30050659179688,194.09017617119656,191.63233355900982,192.15548645475204,48291400,193.203856338501,193.39715684509275
2023-07-31,193.91249084472656,193.95198260711592,192.7378594315981,193.52752900074864,38824100,193.81553459930421,194.0094470901489
2023-08-01,193.08331298828125,194.18884116722148,192.75757377948096,193.70518011978103,35175100,192.9867713317871,193.1798546447754
2023-08-02,190.09246826171875,192.65887532596588,189.37190180440743,192.52068429221174,50389300,189.9974220275879,190.1875144958496
2023-08-03,188.70069885253906,189.885195713569,188.22690312046603,189.09554118067888,61235200,188.6063485031128,188.79504920196533
2023-08-04,179.63926696777344,184.9596445164711,179.57016391801557,183.12366926443607,115956800,179.54944733428957,179.7290866012573
2023-08-07,176.5398406982422,180.7645556934903,175.0592158617292,179.77747246914834,97576100,176.45157077789307,176.6281106185913
2023-08-08,177.4775390625,177.9414693105031,175.2862134413724,177.36895932229305,67823000,177.38880029296877,177.56627783203123
2023-08-09,175.88836669921875,178.59296516430098,174.72360063232372,178.53374257918168,60378500,175.80042251586914,175.97631088256836
2023-08-10,175.6711883544922,178.41527829006225,175.30597241092943,177.1616784798233,54686900,175.58335276031494,175.75902394866944
2023-08-11,175.73049926757812,176.5508864753638,174.5048729038775,175.2659575562626,52036700,175.64263401794435,175.8183645172119
2023-08-14,177.3811798095703,177.60851131506328,175.25607590732963,175.90843422608452,43675600,177.29248921966553,177.4698703994751
2023-08-15,175.3944549560547,177.40093867304276,174.99909450146933,176.80789799116474,43622600,175.30675772857666,175.48215218353272
2023-08-16,174.524658203125,176.47182426987777,174.4554618287455,175.0781688700227,46964900,174.43739587402345,174.61192053222655
2023-08-17,171.9844207763672,175.4537562487029,171.47044012349116,175.08804707675128,66062900,171.898428565979,172.07041298675537
2023-08-18,172.46873474121094,173.07166917955516,169.96804315644715,170.30410101859755,61172200,172.38250037384034,172.55496910858153
2023-08-21,173.80308532714844,174.08973444525807,171.7274205434044,173.0420157807921,46311900,173.71618378448488,173.889986869812
2023-08-22,175.17697143554688,175.62175563939851,174.2083279343983,175.00894251773767,42038900,175.08938294982912,175.26455992126463
2023-08-23,179.0219268798828,179.44695366375947,176.264252478764,176.45205395893973,52722800,178.9324159164429,179.11143784332273
2023-08-24,174.33682250976562,179.00214733275968,173.9710983264249,178.57712060131817,54945800,174.24965409851075,174.4239909210205
2023-08-25,176.541015625,177.07475372946672,173.78334110152613,175.3252679389123,51449600,176.4527451171875,176.6292861328125
2023-08-28,178.10272216796875,178.49808262553688,176.48172016068384,178.00387451255935,43820700,178.0136708068848,178.1917735290527
2023-08-29,181.98716735839844,182.75813070921157,177.4206898063463,177.61837000977968,53003900,181.89617377471924,182.07816094207763
2023-08-30,185.47628784179688,185.67398314097,182.6000082560471,182.7976884731864,60813900,185.383549697876,185.56902598571776
2023-08-31,185.69374084472656,186.92926105598286,185.30825914209595,185.66408956621913,60794500,185.6008939743042,185.78658771514893
2023-09-01,187.26535034179688,187.7200133732383,186.09901131803056,187.29500162288934,45766500,187.171717666626,187.35898301696776
2023-09-05,187.50254821777344,187.7793035443977,185.43676200045883,186.09899903788357,45280000,187.40879694366456,187.59629949188232
2023-09-06,180.7912139892578,186.66240873519862,179.36789222272253,186.21760937163043,81755800,180.7008183822632,180.88160959625242
2023-09-07,175.50315856933594,176.14563807720947,171.5297216636145,173.1507234483217,112488800,175.41540699005128,175.5909101486206
2023-09-08,176.11595153808594,178.15210111956102,175.73046991034678,176.28399552635892,65551300,176.0278935623169,176.20400951385497
2023-09-11,177.28233337402344,178.21144703159865,175.2857283917044,177.9841155245434,58953100,177.19369220733643,177.37097454071045
2023-09-12,174.2577667236328,178.043402311121,172.79491507430095,177.4108165912451,90370200,174.170637840271,174.3448956069946
2023-09-13,172.19198608398438,175.24618840249718,171.96463950783718,174.46533118918654,84267900,172.10589009094238,172.27808207702637
2023-09-14,173.70425415039062,174.060084556446,171.56927171405846,171.98440467411754,60895800,173.61740202331544,173.79110627746581
2023-09-15,172.98269653320312,174.45544195430384,171.806494041059,174.43566940930017,109259500,172.89620518493652,173.06918788146973
2023-09-18,175.90838623046875,177.3020563269988,174.12923452022085,174.4356410488132,67257600,175.82043203735353,175.99634042358397
2023-09-19,176.9956512451172,177.5491617634896,175.0781218907339,175.46360350760258,51826900,176.90715341949465,177.08414907073973
2023-09-20,173.45713806152344,177.61836118650515,173.36816915467014,177.18345571133617,58436200,173.37040949249268,173.5438666305542
2023-09-21,171.9152069091797,174.25776334751873,171.846025624082,172.5280351536478,63149100,171.8292493057251,172.00116451263426
2023-09-22,172.76524353027344,175.0287248458324,172.03382526857388,172.6466384244914,56725400,172.6788609085083,172.85162615203856
2023-09-25,174.0403289794922,174.92001880772483,172.13267784152856,172.18210166869468,46172700,173.95330881500246,174.12734914398192
2023-09-26,169.968017578125,173.17047568238368,169.6714897694264,172.79488786792757,64588900,169.88303356933594,170.05300158691406
2023-09-27,168.45574951171875,171.0355161486817,167.09174554279588,170.6203831944849,66921800,168.3715216369629,168.5399773864746
2023-09-28,168.71275329589844,170.03722730338785,165.67830850769053,167.37838547451082,56294400,168.6283969192505,168.79710967254638
2023-09-29,169.22671508789062,171.06516950648842,168.3667828862352,170.027329658855,51861100,169.1421017303467,169.31132844543455
2023-10-02,171.7373046875,172.28093658205415,168.9499639274405,169.23661305458424,52164500,171.65143603515625,171.82317333984375
2023-10-03,170.4029541015625,171.61871693838452,168.84126971126884,170.26457643095287,49594600,170.31775262451174,170.48815557861326
2023-10-04,171.64833068847656,172.19196251916273,168.9894891655102,169.10809426237566,53020300,171.56250652313233,171.7341548538208
2023-10-05,172.8838653564453,173.41760341955526,170.67968657288918,171.77682905786853,48527900,172.7974234237671,172.97030728912353
2023-10-06,175.43399047851562,175.92819856079907,171.17390414032383,171.78673241813826,57266700,175.34627348327638,175.52170747375487
2023-10-09,176.9165802001953,176.97588274537105,173.76353083741722,174.761825539281,42390800,176.82812191009523,177.0050384902954
2023-10-10,176.3235626220703,177.63815795783916,175.8886570875863,176.03692856454262,43698000,176.2354008407593,176.41172440338133
2023-10-11,177.7172088623047,177.76663268122664,175.5426965680271,176.13573714899445,47551100,177.62835025787354,177.80606746673584
2023-10-12,178.61668395996094,180.227791982292,176.96601576479657,177.98409824545533,56743100,178.52737561798097,178.7059923019409
2023-10-13,176.77822875976562,179.82253713140665,176.07644667980117,179.31845034069394,51427100,176.68983964538575,176.8666178741455
2023-10-16,176.64971923828125,177.00554962273654,174.46531311220224,174.7025383958498,52517000,176.56139437866213,176.73804409790037
2023-10-17,175.09791564941406,176.35320838797153,172.77514673671925,174.60370757241088,57549400,175.01036669158935,175.18546460723877
2023-10-18,173.80308532714844,175.52293478970745,173.08154578913502,173.54610256783715,54764400,173.71618378448488,173.889986869812
2023-10-19,173.42750549316406,175.77992569036093,173.16062890788183,174.0007735918687,59302900,173.3407917404175,173.51421924591062
2023-10-20,170.87738037109375,173.38795063159753,170.64015507731645,173.2792242572037,64244000,170.79194168090822,170.96281906127928
2023-10-23,170.99598693847656,171.99428177951037,167.96154224302492,168.93020088937016,55980100,170.91048894500733,171.0814849319458
2023-10-24,171.43092346191406,171.6582549852611,169.46396961859497,171.04544171274492,43816600,171.3452080001831,171.51663892364502
2023-10-25,169.11801147460938,171.0552987076063,168.67321213575732,169.88897487497013,57157000,169.03345246887207,169.20257048034668
